timestamp,download,upload,ping
2021-12-18T22:30:42.771027Z,266.78151551276625,12.427402718835545,33.144
2021-12-18T22:33:13.733650Z,263.02607006013295,52.42759964799094,31.29
2021-12-18T22:38:44.758430Z,238.73920360050388,51.56379336566605,31.307
2021-12-18T22:39:58.811793Z,275.5015979334673,35.79408496130582,27.569
2021-12-18T22:42:31.582028Z,210.09013016629504,40.73405279101089,35.215
2021-12-18T22:45:33.193036Z,204.57321979827324,38.46592730115806,28.963
2021-12-18T22:49:25.905620Z,231.38482453875727,51.91141867245546,29.209
2021-12-18T22:52:06.077025Z,252.0476390063318,52.89940571180259,27.695
2021-12-18T22:53:30.151504Z,195.67959898561088,50.61105584769623,32.27
2021-12-18T22:57:34.001978Z,130.63122045887292,51.813186496344954,39.257
2021-12-18T23:05:21.320693Z,188.2891167186777,48.61699696156402,31.257
2021-12-18T23:13:34.019436Z,194.21140753468785,50.63296259938334,34.078
